terms,groups,op,ms,extra
100,5,generate,606.1,
100,5,generate,260.3,
100,5,generate,210,
100,5,generate,161.5,
100,5,generate,157.9,
100,5,confirm,47.9,200
100,5,confirm,31.7,200
100,5,confirm,39.1,200
500,10,generate,1263.9,
500,10,generate,728.1,
500,10,generate,646.4,
500,10,generate,672.6,
500,10,generate,615.8,
500,10,confirm,99.5,1000
500,10,confirm,99.8,1000
500,10,confirm,85.3,1000
1000,10,generate,1908.2,
1000,10,generate,1330.2,
1000,10,generate,1228.6,
1000,10,generate,1467,
1000,10,generate,1315.3,
1000,10,confirm,196,2000
1000,10,confirm,199.1,2000
1000,10,confirm,168.6,2000
2500,20,generate,3532.4,
2500,20,generate,3240.1,
2500,20,generate,3697.7,
2500,20,confirm,370.3,5000
2500,20,confirm,573.7,5000
2500,20,confirm,580.5,5000
5000,20,generate,7029.1,
5000,20,generate,7209.2,
5000,20,generate,6767,
5000,20,confirm,943.8,10000
5000,20,confirm,890.1,10000
100,5,generate,679.6,
100,5,generate,280.2,
100,5,generate,191.7,
100,5,confirm,55.5,200
100,5,confirm,40.5,200
100,5,confirm,38.7,200
